local_cheese_price,loaf_of_fresh_white_bread_price,water_price,onion_price,lettuce_price,oranges_price,cigarettes_20_pack_price,apples_price,rice_price,milk_price,imported_beer_price,tomato_price,bottle_of_wine_price,beef_round_price,eggs_price,banana_price,domestic_beer_price,potato_price,chicken_fillets_price,Safety Index
8.8,4.59,2.38,5.37,4.0,5.67,12.95,6.72,3.31,1.03,8.0,11.43,18.5,29.39,5.45,1.48,7.0,9.36,13.23,26.13
13.89,4.44,2.47,2.32,2.29,4.17,11.6,5.02,4.72,1.23,9.0,4.9,15.0,18.32,4.96,1.68,8.0,2.96,12.6,60.23
23.95,5.01,2.26,4.12,3.0,5.29,14.0,6.95,6.88,1.48,9.0,7.81,18.0,23.03,5.74,2.9,8.0,3.71,14.94,38.8
19.47,4.83,2.37,4.5,2.92,3.74,11.25,6.02,3.48,1.34,10.5,6.44,15.0,19.8,5.0,2.31,9.0,3.81,16.47,52.49
14.9,4.59,2.2,3.01,2.5,3.86,10.91,6.39,5.75,1.18,8.85,5.46,15.0,14.54,4.43,1.88,8.0,3.24,16.85,45.83
11.38,3.58,2.14,2.43,1.96,3.71,9.22,4.49,4.66,0.9,7.0,4.18,12.0,15.1,4.19,1.44,6.0,2.81,11.06,74.2
21.15,4.81,2.4,3.47,2.64,5.47,11.0,5.86,5.47,1.24,8.0,6.24,20.0,21.07,5.41,2.62,8.0,3.07,16.21,46.12
9.92,3.44,2.4,2.29,1.89,2.62,8.5,3.75,3.04,1.05,4.5,3.65,15.0,16.16,2.87,1.45,5.0,2.83,11.01,30.47
10.38,2.69,1.55,1.59,1.46,2.43,6.42,4.41,2.67,0.8,7.0,1.75,13.0,9.63,2.97,1.2,4.5,2.09,10.35,40.51
15.43,3.03,2.25,2.29,1.84,4.31,11.49,3.81,4.59,1.05,6.0,5.74,15.0,16.2,4.06,1.68,5.75,2.97,13.34,44.14
9.55,4.63,2.26,4.12,2.62,2.93,12.47,6.22,6.88,1.44,6.0,6.24,14.34,23.03,5.74,1.43,6.5,1.69,14.94,24.8
12.52,3.01,1.9,2.46,1.82,4.28,9.0,4.5,4.67,0.91,7.0,3.32,13.25,17.59,3.67,1.4,6.0,1.87,12.16,79.33
11.99,3.75,2.14,2.43,1.88,3.71,10.79,4.66,5.19,0.9,7.0,3.99,12.0,15.1,4.38,1.62,6.0,2.51,12.4,83.82
11.53,4.31,2.25,2.81,1.97,5.1,11.0,5.18,6.52,1.16,8.0,5.02,16.0,19.17,4.65,1.72,6.0,3.14,16.18,45.28
16.13,3.97,2.12,4.12,2.49,5.16,8.0,6.64,5.05,1.2,8.0,5.04,15.0,17.01,4.49,1.75,6.5,4.7,12.05,53.85
10.99,4.25,2.23,2.46,1.96,3.93,10.49,4.66,5.19,0.9,7.0,4.7,12.0,15.1,4.38,1.44,6.0,2.41,12.4,57.64
11.56,2.73,1.31,2.0,2.11,3.33,9.89,3.73,3.57,0.75,5.0,3.74,10.5,14.15,2.5,1.65,5.0,2.28,10.41,32.56
10.99,3.4,2.23,2.43,1.96,3.71,9.22,4.66,5.19,0.87,7.0,3.99,12.0,15.1,4.19,1.62,6.0,2.41,12.4,45.43
10.84,3.78,1.75,2.94,1.82,3.68,9.43,4.27,5.95,1.12,5.0,4.34,11.0,14.73,3.11,1.76,4.25,2.58,11.36,48.06
16.48,4.27,2.83,3.69,3.0,5.29,10.0,4.41,4.01,1.19,8.5,7.72,10.0,14.33,5.14,2.82,7.5,3.6,11.28,28.19
11.57,2.93,2.58,3.17,1.72,2.78,9.0,2.47,5.41,0.87,6.5,4.25,14.5,15.88,3.66,1.46,5.5,2.29,6.81,58.0
12.52,2.79,1.5,2.43,1.62,3.97,8.0,3.97,2.64,0.91,5.0,2.74,13.25,11.78,3.14,1.15,6.0,3.03,12.16,63.44
15.21,4.13,2.49,3.86,2.54,5.2,11.0,6.18,6.06,1.08,10.0,6.06,16.0,18.99,3.88,1.87,8.0,3.46,15.34,39.63
19.83,3.97,1.72,4.04,2.42,4.79,10.5,5.22,4.06,1.28,9.0,4.12,17.0,17.25,5.19,1.64,6.5,2.84,12.95,38.97
9.87,3.89,1.72,2.26,1.96,4.1,8.7,4.95,4.04,0.92,6.0,4.09,13.0,17.31,3.83,1.67,5.0,2.27,10.79,50.81
13.73,4.06,1.79,3.64,2.18,6.19,6.0,6.85,3.45,0.9,6.0,6.0,9.0,17.97,4.45,1.39,5.75,3.4,10.4,67.33
